n,left_offset,right_offset
4294867650,13,47
4294867651,76,65
4294867652,55,13
4294867653,2,29
4294867654,3,23
4294867655,4,23
4294867656,23,17
4294867657,64,5
4294867658,7,175
4294867659,58,73
4294867660,127,59
4294867661,102,31
4294867662,47,97
4294867663,22,189
4294867664,27,71
4294867665,32,49
4294867666,15,45
4294867667,10,31
4294867668,17,11
4294867669,106,39
4294867670,49,151
4294867671,2,25
4294867672,199,27
4294867673,58,91
4294867674,103,13
4294867675,4,23
4294867676,15,67
4294867677,58,7
4294867678,9,95
4294867679,6,19
4294867680,37,7
4294867681,10,129
4294867682,55,47
4294867683,8,91
4294867684,25,3
4294867685,4,49
4294867686,13,67
4294867687,40,17
4294867688,25,11
4294867689,20,229
4294867690,103,3
4294867691,46,11
4294867692,59,5
4294867693,48,45
4294867694,25,31
4294867695,158,53
4294867696,37,51
4294867697,42,113
4294867698,215,17
4294867699,18,33
4294867700,27,107
4294867701,190,91
4294867702,3,11
4294867703,4,5
4294867704,1,43
4294867705,4,81
4294867706,7,7
4294867707,32,35
4294867708,39,45
4294867709,10,19
4294867710,71,37
4294867711,46,15
4294867712,9,31
4294867713,88,67
4294867714,25,51
4294867715,18,59
4294867716,85,61
4294867717,58,135
4294867718,57,109
4294867719,26,139
4294867720,111,17
4294867721,72,55
4294867722,13,95
4294867723,60,59
4294867724,27,1
4294867725,4,31
4294867726,43,21
4294867727,34,31
4294867728,7,7
4294867729,16,29
4294867730,7,79
4294867731,2,65
4294867732,19,15
4294867733,22,17
4294867734,31,31
4294867735,46,17
4294867736,25,95
4294867737,164,25
4294867738,13,5
4294867739,72,13
4294867740,41,7
4294867741,28,89
4294867742,39,41
4294867743,118,71
4294867744,25,111
4294867745,4,29
4294867746,1,1
4294867747,42,23
4294867748,7,125
4294867749,230,11
4294867750,63,21
4294867751,30,1
4294867752,23,25
4294867753,18,21
4294867754,97,41
4294867755,4,97
4294867756,31,41
4294867757,78,7
4294867758,37,17
4294867759,12,53
4294867760,19,7
4294867761,32,119
4294867762,27,5
4294867763,34,35
4294867764,125,23
4294867765,4,81
4294867766,27,29
4294867767,140,17
4294867768,15,9
4294867769,6,31
4294867770,119,41
4294867771,40,99
4294867772,33,43
4294867773,2,17
4294867774,1,141
4294867775,172,31
4294867776,11,5
4294867777,70,53
4294867778,27,17
4294867779,40,37
4294867780,31,11
4294867781,12,125
4294867782,47,53
4294867783,34,75
4294867784,13,37
4294867785,112,37
4294867786,31,5
4294867787,78,13
4294867788,23,35
4294867789,12,107
4294867790,21,11
4294867791,10,109
4294867792,37,63
4294867793,58,79
4294867794,67,11
4294867795,24,29
4294867796,51,95
4294867797,58,17
4294867798,9,21
4294867799,36,7
4294867800,7,73
4294867801,10,39
4294867802,15,1
4294867803,22,91
4294867804,63,69
4294867805,126,41
4294867806,61,35
4294867807,40,41
4294867808,85,17
4294867809,38,71
4294867810,351,23
4294867811,66,11
4294867812,23,17
4294867813,42,71
4294867814,7,103
4294867815,74,29
4294867816,25,17
4294867817,48,7
4294867818,7,5
4294867819,10,63
