n,left_offset,right_offset
4294882170,23,7
4294882171,72,47
4294882172,13,55
4294882173,14,29
4294882174,103,23
4294882175,24,29
4294882176,25,35
4294882177,28,41
4294882178,25,31
4294882179,142,67
4294882180,61,53
4294882181,78,25
4294882182,73,31
4294882183,10,51
4294882184,25,43
4294882185,2,89
4294882186,1,27
4294882187,54,41
4294882188,55,5
4294882189,10,69
4294882190,1,49
4294882191,2,17
4294882192,115,15
4294882193,12,59
4294882194,5,77
4294882195,4,3
4294882196,43,71
4294882197,74,7
4294882198,27,17
4294882199,12,17
4294882200,13,187
4294882201,66,27
4294882202,7,17
4294882203,4,31
4294882204,1,41
4294882205,34,23
4294882206,31,67
4294882207,10,47
4294882208,33,17
4294882209,28,13
4294882210,9,29
4294882211,58,31
4294882212,65,125
4294882213,18,9
4294882214,31,61
4294882215,4,7
4294882216,21,17
4294882217,28,95
4294882218,35,179
4294882219,250,23
4294882220,109,83
4294882221,26,1
4294882222,85,23
4294882223,4,49
4294882224,1,71
4294882225,52,11
4294882226,141,7
4294882227,2,5
4294882228,45,27
4294882229,40,43
4294882230,47,41
4294882231,6,17
4294882232,37,13
4294882233,4,29
4294882234,45,93
4294882235,18,31
4294882236,7,25
4294882237,34,17
4294882238,3,17
4294882239,86,17
4294882240,27,63
4294882241,16,155
4294882242,23,65
4294882243,42,125
4294882244,67,37
4294882245,2,43
4294882246,15,41
4294882247,30,25
4294882248,23,19
4294882249,72,17
4294882250,103,97
4294882251,128,31
4294882252,3,3
4294882253,24,59
4294882254,43,29
4294882255,4,71
4294882256,1,37
4294882257,14,17
4294882258,19,9
4294882259,60,13
4294882260,97,149
4294882261,18,27
4294882262,3,73
4294882263,4,67
4294882264,15,41
4294882265,4,23
4294882266,55,119
4294882267,108,27
4294882268,117,1
4294882269,190,89
4294882270,1,11
4294882271,46,17
4294882272,13,23
4294882273,10,21
4294882274,37,11
4294882275,2,43
4294882276,1,89
4294882277,18,37
4294882278,89,31
4294882279,42,21
4294882280,1,31
4294882281,22,19
4294882282,13,35
4294882283,28,29
4294882284,13,53
4294882285,4,23
4294882286,93,11
4294882287,58,91
4294882288,123,21
4294882289,16,49
4294882290,29,209
4294882291,58,9
4294882292,37,31
4294882293,2,17
4294882294,31,47
4294882295,4,13
4294882296,11,197
4294882297,12,41
4294882298,87,95
4294882299,56,1
4294882300,1,53
4294882301,10,91
4294882302,59,25
4294882303,12,15
4294882304,63,41
4294882305,16,17
4294882306,57,57
4294882307,34,83
4294882308,77,29
4294882309,10,3
4294882310,7,7
4294882311,68,67
4294882312,219,27
4294882313,10,7
4294882314,83,17
4294882315,52,17
4294882316,45,25
4294882317,4,73
4294882318,33,27
4294882319,72,43
4294882320,23,49
4294882321,46,27
4294882322,55,55
4294882323,20,31
4294882324,33,11
4294882325,72,1
4294882326,23,85
4294882327,12,125
4294882328,19,67
4294882329,2,43
4294882330,109,9
4294882331,28,17
4294882332,43,41
4294882333,54,9
4294882334,115,29
4294882335,8,41
4294882336,3,69
4294882337,70,5
4294882338,35,31
4294882339,60,89
4294882340,39,29
4294882341,16,7
4294882342,27,41
4294882343,4,17
4294882344,1,119
4294882345,48,63
4294882346,93,5
4294882347,20,23
4294882348,33,21
4294882349,18,47
4294882350,7,49
4294882351,28,135
4294882352,33,55
4294882353,38,31
4294882354,1,33
4294882355,12,71
4294882356,23,19
4294882357,4,75
4294882358,69,47
4294882359,20,1
4294882360,1,71
4294882361,10,37
4294882362,113,1
4294882363,12,41
4294882364,25,41
4294882365,2,49
4294882366,37,95
4294882367,12,37
4294882368,13,5
4294882369,18,39
4294882370,13,7
4294882371,22,7
4294882372,73,215
4294882373,124,25
4294882374,11,29
4294882375,4,9
4294882376,45,77
4294882377,100,65
4294882378,9,27
4294882379,10,11
4294882380,19,11
4294882381,28,27
4294882382,15,47
4294882383,2,17
4294882384,55,69
4294882385,16,41
4294882386,77,89
4294882387,118,17
4294882388,25,11
4294882389,2,53
4294882390,33,17
4294882391,28,31
4294882392,37,5
4294882393,22,47
4294882394,75,29
4294882395,182,1
4294882396,13,57
4294882397,4,233
4294882398,65,5
4294882399,72,99
4294882400,111,19
4294882401,2,41
4294882402,115,41
4294882403,4,17
4294882404,17,7
4294882405,42,27
4294882406,15,19
4294882407,8,53
4294882408,19,17
4294882409,22,61
4294882410,11,191
4294882411,16,77
4294882412,15,31
4294882413,10,19
4294882414,37,147
4294882415,28,1
4294882416,1,37
4294882417,34,33
4294882418,45,25
4294882419,16,49
4294882420,1,39
4294882421,6,19
4294882422,37,23
4294882423,42,17
4294882424,73,13
4294882425,38,11
4294882426,1,17
4294882427,150,1
4294882428,23,25
4294882429,12,161
4294882430,91,107
4294882431,46,1
4294882432,9,11
4294882433,28,5
4294882434,71,41
4294882435,34,63
4294882436,67,25
4294882437,4,5
4294882438,27,107
4294882439,28,11
4294882440,1,23
4294882441,6,59
4294882442,45,107
4294882443,32,7
4294882444,3,17
4294882445,18,101
4294882446,7,157
4294882447,64,65
4294882448,13,49
4294882449,128,7
4294882450,27,21
4294882451,120,61
4294882452,59,71
4294882453,64,29
4294882454,103,59
4294882455,32,7
4294882456,1,129
4294882457,18,35
4294882458,59,11
4294882459,16,17
4294882460,79,43
4294882461,28,17
4294882462,55,3
4294882463,130,107
4294882464,1,29
4294882465,22,41
4294882466,81,85
4294882467,4,1
4294882468,15,105
4294882469,6,47
4294882470,11,91
4294882471,28,21
4294882472,33,73
4294882473,44,109
4294882474,67,41
4294882475,16,23
4294882476,13,1
4294882477,34,3
4294882478,9,7
4294882479,16,29
4294882480,9,59
4294882481,36,29
4294882482,5,65
4294882483,22,101
4294882484,3,41
4294882485,142,31
4294882486,15,75
4294882487,22,83
4294882488,17,59
4294882489,42,23
4294882490,99,113
4294882491,22,11
4294882492,9,17
4294882493,18,25
4294882494,47,59
4294882495,28,3
4294882496,37,5
4294882497,38,17
4294882498,15,117
4294882499,46,67
4294882500,157,71
4294882501,16,15
4294882502,49,23
4294882503,8,37
4294882504,37,71
4294882505,6,7
4294882506,35,79
4294882507,54,45
4294882508,15,1
4294882509,26,79
4294882510,51,11
4294882511,16,17
4294882512,7,31
4294882513,22,27
4294882514,1,29
4294882515,74,1
4294882516,37,41
4294882517,28,25
4294882518,29,29
4294882519,18,23
4294882520,7,37
4294882521,38,29
4294882522,9,11
4294882523,40,91
4294882524,41,143
4294882525,16,3
4294882526,123,59
4294882527,14,1
4294882528,19,39
4294882529,6,1
4294882530,49,43
4294882531,12,27
4294882532,43,5
4294882533,44,61
4294882534,7,11
4294882535,42,67
4294882536,1,25
4294882537,150,107
4294882538,15,35
4294882539,16,11
4294882540,1,77
4294882541,16,7
4294882542,25,127
4294882543,60,11
4294882544,43,7
4294882545,62,23
4294882546,15,57
4294882547,72,67
4294882548,49,29
4294882549,28,59
4294882550,13,1
4294882551,70,25
4294882552,75,3
4294882553,18,35
4294882554,43,41
4294882555,18,29
4294882556,45,37
4294882557,32,121
4294882558,115,17
4294882559,6,41
4294882560,11,101
4294882561,30,17
4294882562,135,23
4294882563,142,37
4294882564,115,17
4294882565,24,53
4294882566,5,35
4294882567,18,111
4294882568,69,17
4294882569,16,13
4294882570,7,27
4294882571,12,79
4294882572,19,31
4294882573,4,27
4294882574,67,11
4294882575,44,37
4294882576,37,51
4294882577,58,41
4294882578,107,17
4294882579,82,321
4294882580,33,83
4294882581,28,5
4294882582,25,95
4294882583,12,1
4294882584,61,107
4294882585,12,9
4294882586,75,41
4294882587,2,7
4294882588,115,15
4294882589,10,343
4294882590,131,71
4294882591,28,5
4294882592,15,5
4294882593,68,101
4294882594,15,23
4294882595,16,13
4294882596,7,25
4294882597,48,17
4294882598,39,59
4294882599,10,41
4294882600,9,9
4294882601,6,37
4294882602,119,31
4294882603,52,21
4294882604,27,151
4294882605,44,19
4294882606,33,41
4294882607,30,1
4294882608,5,59
4294882609,58,39
4294882610,69,17
4294882611,50,17
4294882612,63,45
4294882613,12,17
4294882614,5,59
4294882615,28,89
4294882616,1,17
4294882617,28,5
4294882618,9,21
4294882619,108,29
4294882620,43,31
4294882621,16,9
4294882622,207,13
4294882623,28,85
4294882624,7,137
4294882625,4,7
4294882626,5,17
4294882627,12,23
4294882628,7,1
4294882629,8,41
4294882630,81,11
4294882631,6,47
4294882632,5,127
4294882633,10,17
4294882634,37,59
4294882635,44,23
4294882636,7,27
4294882637,4,41
4294882638,53,41
4294882639,6,39
4294882640,19,41
4294882641,2,11
4294882642,37,225
4294882643,70,89
4294882644,73,7
4294882645,156,3
4294882646,13,29
4294882647,68,97
4294882648,3,89
4294882649,36,53
4294882650,1,41
4294882651,10,137
4294882652,49,13
4294882653,2,31
4294882654,1,23
4294882655,36,79
4294882656,47,49
4294882657,4,3
4294882658,85,101
4294882659,140,19
4294882660,1,11
4294882661,42,37
4294882662,55,11
4294882663,130,35
4294882664,105,37
4294882665,46,127
4294882666,181,35
4294882667,58,13
4294882668,89,1
4294882669,72,29
4294882670,31,7
4294882671,26,17
4294882672,15,3
4294882673,48,41
4294882674,47,37
4294882675,84,3
4294882676,15,31
4294882677,14,17
4294882678,9,51
4294882679,18,41
4294882680,31,233
4294882681,12,27
4294882682,43,11
4294882683,4,1
4294882684,235,27
4294882685,28,131
4294882686,1,179
4294882687,24,177
4294882688,39,29
4294882689,10,1
4294882690,37,41
4294882691,16,1
4294882692,5,41
4294882693,72,75
4294882694,105,19
4294882695,2,7
4294882696,57,129
4294882697,60,47
4294882698,7,55
4294882699,72,9
4294882700,1,13
4294882701,22,25
4294882702,13,15
4294882703,52,19
4294882704,41,61
4294882705,22,9
4294882706,13,115
4294882707,20,187
4294882708,7,45
4294882709,12,49
4294882710,17,1
4294882711,76,15
4294882712,9,37
4294882713,8,25
4294882714,57,83
4294882715,24,19
4294882716,25,7
4294882717,10,23
4294882718,3,19
4294882719,40,31
4294882720,1,23
4294882721,60,11
4294882722,163,5
4294882723,78,87
4294882724,25,47
4294882725,106,17
4294882726,3,59
4294882727,72,31
4294882728,13,55
4294882729,18,83
4294882730,21,29
4294882731,22,67
4294882732,15,17
4294882733,58,35
4294882734,13,19
4294882735,6,41
4294882736,13,25
4294882737,4,167
4294882738,259,41
4294882739,40,61
4294882740,11,11
4294882741,58,47
4294882742,13,95
4294882743,34,31
4294882744,25,11
4294882745,94,37
4294882746,17,65
4294882747,4,45
4294882748,9,77
4294882749,28,13
4294882750,27,27
4294882751,78,17
4294882752,25,197
4294882753,54,57
4294882754,201,11
4294882755,2,37
4294882756,55,27
4294882757,4,35
4294882758,25,37
4294882759,72,41
4294882760,27,11
4294882761,22,11
4294882762,33,27
4294882763,42,19
4294882764,1,11
4294882765,76,57
4294882766,25,5
4294882767,64,17
4294882768,43,105
4294882769,70,173
4294882770,43,19
4294882771,22,27
4294882772,13,1
4294882773,68,67
4294882774,1,33
4294882775,78,59
4294882776,7,11
4294882777,64,47
4294882778,39,41
4294882779,16,31
4294882780,1,41
4294882781,76,29
4294882782,7,67
4294882783,34,75
4294882784,25,19
4294882785,4,119
4294882786,75,9
4294882787,54,31
4294882788,23,41
4294882789,72,123
4294882790,19,31
4294882791,16,17
4294882792,45,21
4294882793,48,31
4294882794,23,17
4294882795,102,87
4294882796,15,7
4294882797,8,5
4294882798,45,15
4294882799,88,83
4294882800,187,41
4294882801,28,9
4294882802,27,43
4294882803,44,41
4294882804,21,33
4294882805,4,19
4294882806,1,31
4294882807,102,27
4294882808,15,29
4294882809,116,29
4294882810,31,11
4294882811,90,19
4294882812,7,1
4294882813,18,107
4294882814,1,67
4294882815,16,17
4294882816,27,81
4294882817,22,1
4294882818,47,67
4294882819,30,3
4294882820,9,11
4294882821,26,79
4294882822,63,3
4294882823,78,5
4294882824,11,71
4294882825,138,47
4294882826,25,25
4294882827,14,61
4294882828,55,165
4294882829,18,47
4294882830,31,53
4294882831,36,41
4294882832,9,7
4294882833,8,1
4294882834,31,9
4294882835,12,23
4294882836,31,1
4294882837,18,123
4294882838,19,67
4294882839,46,277
4294882840,141,39
4294882841,18,5
4294882842,137,113
4294882843,42,125
4294882844,37,13
4294882845,4,59
4294882846,25,21
4294882847,52,1
4294882848,7,55
4294882849,40,39
4294882850,33,19
4294882851,40,59
4294882852,19,23
4294882853,30,59
4294882854,41,1
4294882855,36,21
4294882856,25,1
4294882857,38,1
4294882858,9,9
4294882859,36,49
4294882860,29,23
4294882861,16,17
4294882862,13,17
4294882863,20,1
4294882864,31,41
4294882865,6,23
4294882866,47,17
4294882867,12,17
4294882868,25,7
4294882869,2,109
4294882870,61,69
4294882871,10,95
4294882872,5,5
4294882873,70,11
4294882874,25,47
4294882875,14,31
4294882876,13,81
4294882877,4,23
4294882878,17,1
4294882879,138,69
4294882880,3,13
4294882881,32,67
4294882882,7,15
4294882883,48,119
4294882884,43,37
4294882885,12,11
4294882886,37,31
4294882887,14,35
4294882888,7,5
4294882889,42,43
4294882890,7,101
4294882891,60,11
4294882892,45,5
4294882893,88,37
4294882894,51,11
4294882895,138,11
4294882896,23,5
4294882897,34,11
4294882898,19,1
4294882899,56,13
4294882900,97,17
4294882901,28,35
4294882902,23,25
4294882903,70,57
4294882904,121,19
4294882905,32,29
4294882906,21,39
4294882907,12,23
4294882908,113,1
4294882909,42,41
4294882910,39,1
4294882911,32,7
4294882912,13,11
4294882913,60,59
4294882914,1,17
4294882915,18,107
4294882916,37,35
4294882917,28,25
4294882918,9,105
4294882919,30,43
4294882920,19,71
4294882921,18,5
4294882922,37,175
4294882923,44,25
4294882924,31,39
4294882925,34,7
4294882926,11,29
4294882927,24,87
4294882928,45,19
4294882929,52,17
4294882930,21,83
4294882931,72,5
4294882932,13,65
4294882933,28,111
4294882934,135,11
4294882935,136,19
4294882936,7,95
4294882937,22,31
4294882938,7,17
4294882939,102,3
4294882940,49,37
4294882941,40,25
4294882942,15,41
4294882943,70,1
4294882944,5,31
4294882945,6,27
4294882946,15,121
4294882947,124,35
4294882948,25,71
4294882949,78,89
4294882950,1,7
4294882951,46,47
4294882952,27,17
4294882953,8,25
4294882954,27,69
4294882955,46,17
4294882956,125,5
4294882957,22,3
4294882958,7,31
4294882959,2,19
4294882960,3,21
4294882961,112,59
4294882962,5,55
4294882963,10,107
4294882964,25,1
4294882965,4,49
4294882966,7,159
4294882967,24,7
4294882968,55,59
4294882969,12,41
4294882970,13,1
4294882971,26,29
4294882972,9,5
4294882973,130,5
4294882974,11,11
4294882975,88,99
4294882976,73,19
4294882977,34,23
4294882978,3,41
4294882979,42,67
4294882980,7,19
4294882981,18,81
4294882982,9,35
4294882983,28,61
4294882984,25,27
4294882985,66,7
4294882986,1,187
4294882987,258,155
4294882988,25,31
4294882989,86,37
4294882990,19,33
4294882991,58,31
4294882992,5,37
4294882993,58,5
4294882994,55,17
4294882995,16,19
4294882996,21,185
4294882997,58,5
4294882998,19,85
4294882999,78,111
4294883000,13,77
4294883001,20,7
4294883002,25,11
4294883003,12,59
4294883004,71,61
4294883005,48,17
4294883006,21,7
4294883007,34,37
4294883008,3,35
4294883009,42,49
4294883010,83,97
4294883011,78,87
4294883012,13,223
4294883013,64,41
4294883014,63,41
4294883015,144,83
4294883016,13,7
4294883017,64,41
4294883018,39,17
4294883019,38,1
4294883020,3,93
4294883021,100,37
4294883022,85,17
4294883023,10,9
4294883024,1,29
4294883025,8,107
4294883026,13,5
4294883027,18,53
4294883028,23,19
4294883029,78,87
4294883030,27,13
4294883031,58,49
4294883032,7,15
4294883033,18,25
4294883034,47,53
4294883035,28,39
4294883036,15,17
4294883037,2,5
4294883038,55,15
4294883039,10,149
4294883040,17,13
4294883041,72,21
4294883042,49,41
4294883043,58,5
4294883044,7,47
4294883045,6,13
4294883046,5,11
4294883047,54,27
4294883048,37,41
4294883049,46,17
4294883050,67,17
4294883051,148,37
4294883052,19,41
4294883053,78,39
4294883054,61,31
4294883055,56,37
4294883056,67,95
4294883057,18,1
4294883058,143,25
4294883059,82,57
4294883060,61,97
4294883061,58,1
4294883062,3,17
4294883063,22,65
4294883064,7,1
4294883065,108,179
4294883066,1,25
4294883067,10,23
4294883068,9,159
4294883069,70,17
4294883070,13,53
4294883071,28,15
4294883072,15,107
4294883073,40,125
4294883074,1,23
4294883075,16,37
4294883076,47,59
4294883077,18,87
4294883078,43,101
4294883079,20,83
4294883080,21,59
4294883081,36,41
4294883082,5,47
4294883083,52,15
4294883084,51,61
4294883085,14,1
4294883086,15,27
4294883087,30,95
4294883088,5,11
4294883089,12,11
4294883090,81,13
4294883091,32,17
4294883092,25,17
4294883093,60,95
4294883094,41,1
4294883095,138,57
4294883096,33,5
4294883097,80,101
4294883098,85,17
4294883099,88,29
4294883100,17,109
4294883101,118,35
4294883102,9,31
4294883103,2,101
4294883104,7,41
4294883105,34,17
4294883106,23,25
4294883107,24,3
4294883108,15,35
4294883109,38,19
4294883110,51,3
4294883111,60,1
4294883112,25,17
4294883113,10,21
4294883114,1,23
4294883115,76,197
4294883116,7,9
4294883117,78,41
4294883118,37,65
4294883119,36,53
4294883120,39,109
4294883121,100,25
4294883122,25,15
4294883123,4,55
4294883124,5,11
4294883125,16,41
4294883126,7,7
4294883127,70,47
4294883128,15,11
4294883129,6,1
4294883130,107,13
4294883131,138,59
4294883132,85,41
4294883133,20,31
4294883134,21,101
4294883135,78,67
4294883136,47,59
4294883137,10,47
4294883138,15,101
4294883139,8,1
4294883140,49,39
4294883141,58,17
4294883142,7,23
4294883143,100,11
4294883144,57,37
4294883145,106,31
4294883146,21,59
4294883147,40,5
4294883148,23,19
4294883149,60,17
4294883150,33,43
4294883151,10,5
4294883152,55,15
4294883153,28,41
4294883154,5,11
4294883155,112,53
4294883156,21,149
4294883157,64,7
4294883158,39,41
4294883159,6,121
4294883160,37,41
4294883161,60,9
4294883162,55,305
4294883163,74,35
4294883164,7,27
4294883165,154,19
4294883166,25,55
4294883167,120,51
4294883168,19,47
4294883169,16,19
4294883170,49,51
4294883171,30,79
4294883172,47,83
4294883173,30,15
4294883174,15,23
4294883175,116,7
4294883176,31,71
4294883177,28,61
4294883178,107,31
4294883179,58,53
4294883180,39,11
4294883181,2,1
4294883182,49,11
4294883183,22,61
4294883184,91,47
4294883185,42,101
4294883186,133,37
4294883187,2,41
4294883188,15,35
4294883189,42,17
4294883190,11,17
4294883191,16,39
4294883192,57,71
4294883193,58,5
4294883194,67,39
4294883195,138,83
4294883196,37,7
4294883197,142,5
4294883198,73,5
4294883199,20,77
4294883200,9,27
4294883201,10,47
4294883202,149,7
4294883203,60,75
4294883204,1,1
4294883205,56,77
4294883206,75,87
4294883207,60,25
4294883208,5,17
4294883209,102,3
4294883210,27,7
4294883211,58,11
4294883212,7,3
4294883213,58,49
4294883214,73,23
4294883215,18,9
4294883216,87,191
4294883217,58,35
4294883218,189,75
4294883219,72,83
4294883220,1,101
4294883221,12,11
4294883222,15,13
4294883223,128,121
4294883224,81,27
4294883225,108,41
4294883226,55,25
4294883227,30,3
4294883228,63,5
4294883229,40,53
4294883230,1,41
4294883231,18,67
4294883232,59,77
4294883233,70,41
4294883234,33,1
4294883235,32,79
4294883236,67,29
4294883237,18,13
4294883238,19,109
4294883239,66,81
4294883240,7,203
4294883241,26,25
4294883242,25,17
4294883243,30,1
4294883244,95,31
4294883245,18,51
4294883246,55,5
4294883247,10,97
4294883248,49,59
4294883249,18,31
4294883250,11,17
4294883251,12,95
4294883252,13,23
4294883253,8,1
4294883254,127,3
4294883255,6,31
4294883256,131,17
4294883257,18,5
4294883258,159,11
4294883259,22,7
4294883260,49,29
4294883261,28,55
4294883262,25,53
4294883263,72,9
4294883264,111,13
4294883265,38,11
4294883266,33,9
4294883267,24,11
4294883268,17,37
4294883269,22,69
4294883270,1,37
4294883271,26,89
4294883272,147,11
4294883273,42,7
4294883274,25,17
4294883275,4,17
4294883276,253,109
4294883277,8,137
4294883278,103,75
4294883279,28,23
4294883280,13,11
4294883281,60,69
4294883282,3,13
4294883283,4,25
4294883284,45,59
4294883285,12,41
4294883286,25,125
4294883287,12,17
4294883288,9,125
4294883289,20,23
4294883290,43,129
4294883291,42,1
4294883292,47,13
4294883293,10,9
4294883294,21,49
4294883295,182,19
4294883296,1,35
4294883297,12,37
4294883298,79,29
4294883299,30,11
4294883300,7,7
4294883301,32,11
4294883302,9,147
4294883303,174,5
4294883304,1,1
4294883305,28,87
4294883306,57,101
4294883307,58,7
4294883308,49,65
4294883309,10,11
4294883310,107,11
4294883311,40,9
4294883312,169,5
4294883313,2,11
4294883314,163,53
4294883315,6,7
4294883316,11,7
4294883317,34,93
4294883318,7,17
4294883319,100,83
4294883320,229,3
4294883321,22,67
4294883322,37,41
4294883323,22,35
4294883324,25,119
4294883325,8,23
4294883326,73,29
4294883327,58,11
4294883328,29,1
4294883329,6,81
4294883330,39,19
4294883331,2,25
4294883332,27,15
4294883333,64,41
4294883334,31,59
4294883335,106,63
4294883336,15,89
4294883337,4,31
4294883338,3,41
4294883339,22,17
4294883340,17,29
4294883341,18,27
4294883342,3,7
4294883343,8,11
4294883344,51,33
4294883345,58,7
4294883346,43,109
4294883347,70,93
4294883348,37,1
4294883349,22,41
4294883350,1,21
4294883351,100,1
4294883352,137,13
4294883353,114,279
4294883354,7,83
4294883355,58,19
4294883356,33,9
4294883357,54,55
4294883358,23,85
4294883359,30,11
4294883360,9,71
4294883361,50,19
4294883362,37,17
4294883363,58,49
4294883364,37,37
4294883365,4,27
4294883366,63,5
4294883367,58,23
4294883368,25,5
4294883369,48,23
4294883370,89,1
4294883371,58,69
4294883372,9,85
4294883373,10,67
4294883374,25,57
4294883375,36,37
4294883376,41,85
4294883377,78,15
4294883378,67,41
4294883379,20,103
4294883380,57,47
4294883381,6,77
4294883382,53,47
4294883383,4,5
4294883384,1,59
4294883385,46,59
4294883386,37,161
4294883387,10,53
4294883388,7,37
4294883389,156,17
4294883390,97,1
4294883391,56,17
4294883392,7,21
4294883393,24,5
4294883394,125,41
4294883395,6,29
4294883396,73,17
4294883397,2,73
4294883398,49,27
4294883399,42,19
4294883400,43,11
4294883401,66,41
4294883402,37,41
4294883403,44,47
4294883404,13,51
4294883405,36,13
4294883406,25,49
4294883407,108,5
4294883408,25,91
4294883409,70,91
4294883410,7,3
4294883411,16,37
4294883412,17,23
4294883413,30,11
4294883414,27,59
4294883415,2,13
4294883416,7,27
4294883417,18,25
4294883418,79,5
4294883419,10,3
4294883420,243,19
4294883421,2,19
4294883422,55,45
4294883423,4,49
4294883424,37,41
4294883425,6,3
4294883426,25,11
4294883427,88,257
4294883428,57,5
4294883429,78,17
4294883430,23,1
4294883431,10,5
4294883432,3,25
4294883433,124,41
4294883434,1,11
4294883435,108,67
4294883436,41,7
4294883437,28,45
4294883438,7,19
4294883439,8,29
4294883440,9,21
4294883441,142,31
4294883442,23,5
4294883443,24,5
4294883444,1,11
4294883445,56,121
4294883446,13,11
4294883447,54,23
4294883448,49,5
4294883449,28,21
4294883450,69,19
4294883451,20,25
4294883452,19,41
4294883453,10,19
4294883454,77,17
4294883455,12,11
4294883456,45,5
4294883457,58,53
4294883458,7,9
4294883459,108,37
4294883460,13,13
4294883461,96,21
4294883462,97,23
4294883463,22,97
4294883464,31,17
4294883465,18,71
4294883466,1,95
4294883467,4,41
4294883468,15,59
4294883469,20,73
4294883470,97,71
4294883471,58,7
4294883472,37,13
4294883473,18,5
4294883474,25,13
4294883475,8,79
4294883476,57,11
4294883477,34,1
4294883478,13,37
4294883479,48,69
4294883480,3,53
4294883481,16,37
4294883482,105,53
4294883483,18,5
4294883484,11,1
4294883485,16,33
4294883486,37,95
4294883487,4,41
4294883488,99,59
4294883489,70,71
4294883490,11,67
4294883491,18,17
4294883492,63,137
4294883493,40,29
4294883494,15,59
4294883495,48,61
4294883496,11,31
4294883497,78,11
4294883498,3,41
4294883499,20,41
4294883500,7,59
4294883501,82,71
4294883502,25,47
4294883503,4,137
4294883504,51,41
4294883505,16,29
4294883506,93,21
4294883507,28,31
4294883508,23,1
4294883509,10,3
4294883510,61,83
4294883511,40,55
4294883512,97,11
4294883513,88,25
4294883514,1,139
4294883515,4,3
4294883516,13,41
4294883517,28,13
4294883518,85,41
4294883519,18,11
4294883520,71,67
4294883521,22,41
4294883522,9,43
4294883523,64,61
4294883524,7,3
4294883525,28,19
4294883526,151,35
4294883527,78,17
4294883528,7,41
4294883529,32,13
4294883530,1,41
4294883531,18,37
4294883532,29,11
4294883533,102,15
4294883534,147,41
4294883535,32,53
4294883536,133,11
4294883537,34,211
4294883538,35,49
4294883539,6,59
4294883540,57,53
4294883541,88,11
4294883542,9,23
4294883543,54,107
4294883544,47,31
4294883545,52,41
4294883546,61,97
4294883547,98,7
4294883548,13,5
4294883549,58,37
4294883550,31,17
4294883551,12,167
4294883552,73,25
4294883553,20,47
4294883554,3,17
4294883555,6,49
4294883556,1,1
4294883557,42,197
4294883558,207,59
4294883559,88,1
4294883560,9,27
4294883561,36,29
4294883562,67,13
4294883563,28,39
4294883564,7,37
4294883565,58,79
4294883566,3,27
4294883567,18,5
4294883568,65,25
4294883569,58,93
4294883570,27,23
4294883571,52,79
4294883572,37,155
4294883573,4,37
4294883574,7,83
4294883575,48,99
4294883576,43,37
4294883577,22,31
4294883578,3,9
4294883579,52,73
4294883580,49,107
4294883581,6,17
4294883582,3,83
4294883583,28,7
4294883584,21,101
4294883585,94,13
4294883586,1,31
4294883587,78,65
4294883588,9,5
4294883589,16,13
4294883590,73,51
4294883591,12,77
4294883592,5,43
4294883593,82,135
4294883594,33,41
4294883595,8,17
4294883596,1,39
4294883597,30,121
4294883598,7,1
4294883599,46,47
4294883600,31,31
4294883601,56,59
4294883602,19,3
4294883603,22,49
4294883604,13,101
4294883605,46,41
4294883606,43,31
4294883607,10,83
4294883608,33,11
4294883609,18,13
4294883610,29,17
4294883611,30,77
4294883612,25,7
4294883613,2,41
4294883614,51,41
4294883615,24,41
4294883616,11,25
4294883617,4,35
4294883618,9,7
4294883619,58,31
4294883620,3,101
4294883621,108,31
4294883622,7,7
4294883623,42,9
4294883624,55,131
4294883625,64,37
4294883626,15,69
4294883627,42,13
4294883628,65,31
4294883629,16,23
4294883630,1,7
4294883631,46,31
4294883632,25,227
4294883633,42,1
4294883634,47,29
4294883635,36,23
4294883636,225,109
4294883637,8,13
4294883638,73,81
4294883639,36,37
4294883640,97,83
4294883641,18,9
4294883642,27,61
4294883643,44,71
4294883644,13,11
4294883645,4,73
4294883646,11,151
4294883647,18,27
4294883648,15,37
4294883649,40,113
4294883650,63,3
4294883651,58,37
4294883652,217,1
4294883653,10,11
4294883654,1,23
4294883655,44,41
4294883656,81,9
4294883657,10,7
4294883658,5,151
4294883659,58,71
4294883660,13,151
4294883661,8,25
4294883662,63,5
4294883663,10,17
4294883664,7,11
4294883665,102,17
4294883666,37,29
4294883667,14,61
4294883668,15,21
4294883669,28,19
4294883670,89,79
4294883671,18,69
4294883672,19,35
4294883673,44,71
4294883674,141,23
4294883675,78,7
4294883676,7,59
4294883677,22,5
4294883678,19,7
4294883679,16,17
4294883680,13,69
4294883681,120,47
4294883682,13,101
4294883683,108,9
4294883684,37,29
4294883685,2,1
4294883686,1,5
4294883687,22,17
4294883688,85,37
4294883689,12,63
4294883690,49,61
4294883691,46,19
4294883692,7,53
4294883693,4,25
4294883694,25,29
4294883695,28,69
4294883696,27,1
4294883697,50,53
4294883698,3,41
4294883699,186,13
4294883700,41,47
4294883701,52,27
4294883702,45,13
4294883703,34,7
4294883704,1,69
4294883705,64,13
4294883706,43,91
4294883707,154,11
4294883708,25,7
4294883709,80,49
4294883710,49,27
4294883711,22,101
4294883712,19,41
4294883713,18,15
4294883714,7,89
4294883715,16,1
4294883716,25,41
4294883717,34,1
4294883718,23,1
4294883719,40,17
4294883720,1,29
4294883721,26,17
4294883722,45,11
4294883723,10,55
