hits 0
seconds 0.1

# best
(368, 86, (1, 343, 29, 129, 17), 106, 4.27906976744186)
(369, 82, (1, 287, 118, 267, 142), 106, 4.5)
(370, 82, (1, 250, 317, 162, 278), 106, 4.512195121951219)
(371, 77, (1, 340, 127, 70, 318), 106, 4.818181818181818)
(372, 82, (1, 68, 107, 360, 111), 107, 4.536585365853658)
(373, 80, (1, 210, 4, 121, 111), 107, 4.6625)
(374, 87, (1, 90, 348, 15, 3), 107, 4.2988505747126435)
(375, 81, (1, 26, 49, 137, 222), 108, 4.62962962962963)
(376, 87, (1, 8, 125, 371, 280), 108, 4.32183908045977)
(377, 88, (1, 297, 357, 137, 153), 108, 4.284090909090909)
(378, 82, (1, 191, 274, 37, 338), 108, 4.609756097560975)
(379, 85, (1, 155, 167, 95, 241), 109, 4.458823529411765)
(380, 86, (1, 371, 363, 176, 146), 109, 4.4186046511627906)
(381, 91, (1, 238, 36, 43, 314), 109, 4.186813186813187)
(382, 86, (1, 183, 168, 348, 93), 110, 4.441860465116279)
(383, 87, (1, 204, 70, 283, 230), 110, 4.402298850574713)
(384, 88, (1, 206, 244, 297, 83), 110, 4.363636363636363)
(385, 88, (1, 306, 286, 314, 102), 110, 4.375)
(386, 89, (1, 254, 33, 343, 129), 111, 4.337078651685394)
(387, 84, (1, 125, 311, 239, 18), 111, 4.607142857142857)
(388, 85, (1, 32, 131, 108, 143), 111, 4.564705882352941)
(389, 83, (1, 342, 221, 33, 99), 112, 4.686746987951807)
(390, 90, (1, 295, 130, 155, 67), 112, 4.333333333333333)
(391, 89, (1, 236, 12, 96, 387), 112, 4.393258426966292)
(392, 86, (1, 50, 205, 183, 247), 112, 4.558139534883721)
(393, 89, (1, 79, 176, 310, 247), 113, 4.415730337078652)
(394, 90, (1, 71, 3, 153, 216), 113, 4.377777777777778)
(395, 90, (1, 379, 49, 252, 179), 113, 4.388888888888889)
(396, 88, (1, 194, 122, 93, 291), 114, 4.5)
(397, 90, (1, 237, 169, 355, 308), 114, 4.411111111111111)
(398, 88, (1, 197, 336, 107, 299), 114, 4.5227272727272725)
(399, 93, (1, 323, 234, 335, 262), 114, 4.290322580645161)
(400, 89, (1, 147, 152, 27, 218), 115, 4.49438202247191)
